Parameter,Time,Value,Global
F3,1.61,2357.1428571428573,False
F3,1.62,2321.4285714285716,False
F3,1.6300000000000001,2292.8571428571427,False
F3,1.6400000000000001,2271.4285714285716,False
F3,1.6500000000000001,2257.1428571428573,False
F3,1.6600000000000001,2250.0,False
F3,1.67,2250.0,False
F3,1.68,2250.0,False
F3,1.69,2250.0,False
F3,1.7,2250.0,False
F3,1.71,2250.0,False
F3,1.72,2250.0,False
F3,1.73,2250.0,False
F3,1.74,2250.0,False
F3,1.75,2250.0,False
F3,1.76,2250.0,False
F3,1.77,2250.0,False
F3,1.78,2250.0,False
F3,1.79,2250.0,False
F3,1.8,2250.0,False
F3,1.81,2250.0,False
F3,1.82,2250.0,False
F3,1.83,2250.0,False
F3,1.84,2250.0,False
F3,1.85,2250.0,False
F3,1.86,2250.0,False
F3,1.87,2250.0,False
F3,1.8800000000000001,2250.0,False
F3,1.8900000000000001,2250.0,False
F3,1.9000000000000001,2250.0,False
F3,1.9100000000000001,2250.0,False
F3,1.92,2250.0,False
F3,1.93,2250.0,False
F3,1.94,2250.0,False
F3,1.95,2250.0,False
F3,1.96,2250.0,False
F3,1.97,2250.0,False
F3,1.98,2250.0,False
F3,1.99,2250.0,False
F3,2.0,2250.0,False
F4,0.0,3500.0,False
F4,2.0,3500.0,False
F5,0.0,5500.0,False
F5,2.0,5500.0,False
A1,0.0,50.0,False
A1,1.0,50.0,False
A2,0.0,30.0,False
A2,1.0,30.0,False
A3,0.0,20.0,False
A3,1.0,20.0,False
A4,0.0,10.0,False
A4,1.0,10.0,False
A5,0.0,0.0,False
A5,1.0,0.0,False
B1,0.0,50.0,False
B1,1.0,50.0,False
B2,0.0,100.0,False
B2,1.0,100.0,False
B3,0.0,100.0,False
B3,1.0,100.0,False
B4,0.0,200.0,False
B4,1.0,200.0,False
B5,0.0,250.0,False
B5,1.0,250.0,False
